,artist_mb,artist_lastfm,country_mb,tags_mb,tags_lastfm
2,Red Hot Chili Peppers,Red Hot Chili Peppers,United States,rock; alternative rock; 80s; 90s; rap; metal; american; crossover; usa; funk; funk rock; alternative; pop rock; funk metal; rap rock; 00s; dvd; pop and chart; 10s; funk rock tributo,rock; alternative rock; alternative; Funk Rock; funk; seen live; Red Hot Chili Peppers; punk; american; indie; 90s; California; rhcp; crossover; classic rock; hard rock; pop; 80s; funk metal; punk rock; metal; indie rock; USA; 00s; pop rock; funky; Grunge; male vocalists; favorites
3,Rihanna,Rihanna,United States,pop; dance; hip hop; reggae; contemporary r b; electropop; rnb; barbadian; dance-pop; dancehall; electro house; pop and chart; pop soul; rihanna; barbadien; barbados; barbade; rehab; r&b; contemporary r&b,pop; rnb; female vocalists; dance; Hip-Hop; Rihanna; r&b; seen live; reggae; hip hop; sexy; female; female vocalist; american; dancehall; barbados; soul; barbadian; electronic; 00s; dance-pop; club; urban; r'n'b; guilty pleasure; electropop; hot; party; rhythm and blues; dance pop; Love; diva; beautiful; rock; USA; pop rock; mainstream; r and b; Guilty Pleasures; hiphop; legend; bitch; rap; House; alternative; amazing; english; Britney Spears; umbrella
4,Eminem,Eminem,United States,turkish; rap; american; hip-hop; hip hop; hiphop; midwest hip-hop; detroit hip-hop; pop rap; horrorcore; rapper; us; pop and chart; eminem; 8 mile; boom bap; v; comedy rap; hardcore hip hop,rap; Hip-Hop; Eminem; hip hop; pop; american; detroit; seen live; hiphop; Gangsta Rap; male vocalists; slim shady; rock; alternative; hardcore rap; 00s; 90s; USA; singer-songwriter; Shady; d12; emo; Horrorcore; Aftermath; dance; Michigan; white rap
6,Kanye West,Kanye West,United States,synthpop; pop; american; hip-hop; hip hop; electropop; producer; pop rap; rapper; us; hip hop rnb and dance hall; experimental hip hop; grammy winner; hardcore hip hop,Hip-Hop; rap; hip hop; rnb; Kanye West; seen live; Gay Fish; american; pop; chicago; hiphop; soul; electronic; gayfish; producer; alternative; male vocalists; 00s; kanye; indie; rock; urban; experimental; dance; r&b; pop rap; alternative rap; electronica; alternative hip-hop; USA; good music; midwest rap
11,Linkin Park,Linkin Park,United States,rock; alternative rock; industrial rock; metal; american; hip hop; usa; nu metal; new metal; américain; alternative metal; pop rock; rapcore; rap metal; rap rock; alt rock; nu-metal; rock and indie; united states; roxette; the greatest,rock; Nu Metal; alternative rock; alternative; metal; seen live; rapcore; Linkin Park; Nu-metal; alternative metal; american; hard rock; crossover; punk; electronic; pop; rap; rap rock; rap metal; emo; male vocalists; Hip-Hop; pop rock; USA; punk rock; lp; 00s; new metal; favorites; NOT METAL; indie; linkin; shit; California; electronic rock; Rap-Rock
16,Katy Perry,Katy Perry,United States,rock; pop; house; american; usa; electropop; américain; dance-pop; pop rock; united states; cute; katy perry; multiple ipi; bubblegum; california gurls; ur so fail; fail; trap; lame; her expression is like shes thinking something dumb; nope still fail; still fail; lolol trap?; megafail; failfail; ur so fail; ur so faaaail; chesty; ‟ur so fail”; total fail; ur so lame; i'm gay if i am shut up; katy perry is gay; megalmaestupiddumb; also fail; what's wrong with being gay? gay; uncool,pop; female vocalists; pop rock; indie; rock; katy perry; american; dance; seen live; female vocalist; sexy; electronic; electropop; singer-songwriter; female; alternative; guilty pleasure; 00s; katy; USA; hot; fun; Love; bitch; beautiful; cool; mainstream; dance-pop; Pop-Rock; diva; amazing; female vocals; catchy; California; dance pop; indie rock; Guilty Pleasures; rnb; Awesome; I Kissed a Girl; indie pop; female vocal; legend
19,Gorillaz,Gorillaz,United Kingdom,trip-hop; rock; electronic; alternative rock; fictional; hip-hop; british; hip hop; uk; electronica; electropop; producer; trip rock; alternative hip-hop; alternative dance; english; trip hop; parlophone; producteur; rock and indie; gorillaz; virtual band,alternative; electronic; Hip-Hop; rock; indie; trip-hop; electronica; pop; british; alternative rock; hip hop; gorillaz; experimental; seen live; britpop; rap; indie rock; dance; trip hop; funk; chillout; 00s; UK; alternative hip-hop; dub; punk; electro; damon albarn; indie pop; metal; alternative rap; english; virtual; downtempo; favorites; punk rock; alternative hip hop
20,Beyoncé,Beyoncé,United States,pop; hard rock; funk; country; soul; electropop; rnb; dance-pop; pop rap; hip hop rnb and dance hall; grammy winner; r&b; contemporary r&b; mbs-333; art pop; alternative r&b; moombahton; contemporary pop,rnb; pop; female vocalists; soul; Hip-Hop; beyonce; dance; r&b; american; sexy; Officially Shit; Shakira; seen live; diva; bitch; female; shakira wannabe; hip hop; shit; whore; overrated; female vocalist; all things annoying in the world put together into one stupid bitch; cunt; talentless; 00s; urban; Crap; animal cruelty; your ears will bleed; bimbo; rhythm and blues; boring; wack; singer-songwriter; USA; Love; legend; funk; r and b; rap; officially shallow; beautiful; jazz; r'n'b; amazing; black music; hot; dance-pop; constant lip syncher; Brutal Death Metal; hiphop; party; electronic; contemporary rnb; Fierce; texas; english; Favorite Artists; guilty pleasure; bootylicious; destinys child; Beyonce knowles; Queen; alternative; cool; dance pop; Rihanna; club; Guilty Pleasures; fun; great voice; Halo
27,Drake,Drake,Canada,hip hop; pop rap; rapper; contemporary r&b; alternative r&b; trap rap; rap us; hardcore hip; cotm candidate,Hip-Hop; rap; rnb; hip hop; Canadian; Drake; seen live; r&b; pop; young money; male vocalists; canada; indie; toronto; drizzy; pop rap; Lil Wayne; soul; sexy; alternative rap; Degrassi; hiphop; Kanye West; alternative hip-hop; Hip Hop/Rap; contemporary rnb; alternative rnb; urban; lyrical; swag; trey songz; chill; 00s; 10s; YMCMB
29,The Black Eyed Peas,Black Eyed Peas,United States,pop; electropop; dance-pop; pop rap; electro house; fergie; pop and chart; west coast hip hop; will i am; conscious hip hop; a filk artist,Hip-Hop; pop; rnb; rap; hip hop
35,JAY-Z,Jay-Z,United States,pop; rap; hip-hop; hip hop; hiphop; pop rap; rapper; us; mashup; hip hop rnb and dance hall; united states; grammy winner; boom bap; east coast hip hop; hardcore hip hop; new york hip hop,Hip-Hop; rap; hip hop; east coast rap; jay-z; seen live; new york; East Coast; american; hiphop; rnb; Brooklyn; Gangsta Rap; pop; roc-a-fella; 90s; jay z; 00s; Jigga; urban; male vocalists; NYC; soul; legend; Hova; rock; dance; east coast hip-hop; USA
47,Metallica,Metallica,United States,rock; 80s; heavy metal; 90s; thrash metal; metal; american; seen live; band; hard rock; usa; trash; américain; thrash; symphonic metal; alternative metal; speed metal; california; los angeles; crap; bay area; trash metal; 80s thrash metal; douchebag metal; american thrash metal; rock and indie; metallica; classic metal; 80s metal; classic thrash metal; 90s metal; 80's; 90's; hard'n'heavy; lame; a filk artist; the unforgiving; stopped being good after '97; stopped being good after '88; pompous asses,thrash metal; metal; heavy metal; hard rock; rock; seen live; metallica; speed metal; classic rock; american; thrash; 80s; trash metal; 90s; emo; USA; alternative; classic metal; Progressive metal; alternative rock; heavy; legends; Power metal
51,Rage Against the Machine,Rage Against the Machine,United States,political; rock; alternative rock; metal; american; alternative metal; rapcore; funk metal; rap metal; rap rock; rock and indie; best of; angry,rock; alternative rock; alternative; political; metal; rapcore; seen live; hard rock; alternative metal; crossover; rap metal; punk; funk metal; Rage Against The Machine; 90s; Nu Metal; american; funk; rap; hardcore; Hip-Hop; rap rock; Funk Rock; punk rock; heavy metal; indie; ratm; rap-metal; hip hop; Grunge; Fusion; Nu-metal; USA; rage; political rock; Progressive rock; los angeles; California; classic rock; Awesome; tom morello; favorites; Rap-Rock; angry
68,Usher,Usher,United States,soul; pop rap; hip hop rnb and dance hall; contemporary r&b,rnb; Hip-Hop; pop; soul; rap
69,50 Cent,50 Cent,United States,rap; hip-hop; hip hop; gangsta rap; pop rap; hip hop rnb and dance hall; gangster rap; hip-hop/rap; east coast hip hop; hardcore hip hop,rap; Hip-Hop; Gangsta Rap; hip hop; 50 Cent; Officially Shit; seen live; hiphop; Crap; G-Unit; pop; the worst thing ever to happen to music; american; new york; shit; gangsta; east coast rap; gay; rnb; East Coast; emo; male vocalists; ponyrape; dance; 50cent; Eminem; rock; USA; 50; terrible; hip-hop and rap; alternative; 00s; Aftermath; overrated; queens; stupid; g unit
73,Chris Brown,Chris Brown,United States,pop; dance; american; hip-hop; electropop; rnb; dance-pop; pop rap; electro house; hip hop rnb and dance hall; r&b; contemporary r&b; ya man ain't me (produced by the.mp3; wifebeater,rnb; Hip-Hop; Chris Brown; rap; hip hop; pop; r&b; male vocalists; dance; american; Woman beater; soul; r and b; urban; seen live; sexy; rhythm and blues; r'n'b; Love; chris; wife beater; electronic; 00s; Rihanna; male vocalist; r n b; party; douchebag; hot; asshole; Favorite; Officially Shit; hiphop; virginia; black music; r & b
79,Massive Attack,Massive Attack,United Kingdom,trip-hop; rock; electronic; downtempo; alternative rock; chillout; ambient; british; uk; britannique; dub; electronica; english; triphop; trip hop; england; bristol; hip hop rnb and dance hall; uk hip hop; electonic; oldest artist #4,trip-hop; electronic; chillout; downtempo; electronica; seen live; trip hop; alternative; british; ambient; Massive Attack; experimental; dub; chill; bristol; 90s; rock; indie; UK; electro; lounge; triphop; female vocalists; psychedelic; Hip-Hop; dance; Bristol Sound
86,OutKast,OutKast,United States,pop; american; hip-hop; experimental; hip hop; funk; neo-soul; southern hip hop; pop rap; alternative hip-hop; southern hip-hop; dirty south; hip hop rnb and dance hall; contemporary r&b; conscious hip hop,Hip-Hop; rap; funk; hip hop; soul; Dirty South; pop; alternative; seen live; outkast; american; southern rap; hiphop; atlanta; rnb; alternative rap; rock; electronic; 00s; 90s; alternative hip-hop; dance; georgia; southern hip-hop; indie; experimental; ATL; Southern Hip Hop; funky; male vocalists; USA; jazz; G-funk; electronica; favorites; andre 3000; Big Boi
90,Snoop Dogg,Snoop Dogg,United States,american; hip-hop; hip hop; reggae; gangsta rap; west coast hip-hop; g-funk; hip hop rnb and dance hall; west coast hip hop,Hip-Hop; rap; Gangsta Rap; hip hop; west coast; seen live; G-funk; Snoop Dogg; West Coast Rap; hiphop; gangsta; american; California; 90s; pop; rnb; Snoop; long beach; west coast hip-hop; rock; male vocalists; USA; funk; alternative; 00s; weed; west coast hip hop; dance; chillout; snoop dog; indie; reggae
91,Kid Cudi,Kid Cudi,United States,rap; hip hop; hiphop; us; alternative hip hop,Hip-Hop; rap; alternative rap; hip hop; House; seen live; electronic; kid cudi; alternative hip-hop; american; alternative; dance; hipster rap; chill; male vocalists; electro; urban; alternative hip hop; indie; experimental; Ohio; Cleveland; good music; chillout; pop; USA; hipster hop; electronica; stoner; underground hip-hop; alternative rock; 00s; hiphop; rnb; trip-hop; future-rap
92,Kesha,Ke$ha,United States,pop; dance; electropop; indie pop; dance-pop; pop rock; pop rap; singer/songwriter; a filk artist,pop; dance; electropop; female vocalists; electronic; american; kesha; whorecore; seen live; female vocalist; party; dance pop; pop rock; singer-songwriter; sexy; bitch; Hip-Hop; dance-pop; guilty pleasure; electro; rock; rnb; chillout; female; 3; chill; world; World Music; sunflower; Skitz0rz; uitluisteren artist; holloween skitz0rz; my dance room; Trashy; fav888; Love; glam; hot; electronica; amazing; <3; alternative; USA; 00s; dirty; beautiful; diva; club; auto-tune; powerpop; Trash; 10s; Tik Tok; female vocals; Wanessa; House; english; overrated; electro-pop
95,Papa Roach,Papa Roach,United States,rock; alternative rock; hard rock; nu metal; alternative; alternative metal; pop rock; rap rock; pop and chart,rock; Nu Metal; alternative rock; alternative; metal; seen live; hard rock; rapcore; Nu-metal; alternative metal; punk; Papa Roach; american; punk rock; emo; hardcore; post-grunge; heavy metal; USA; 90s; male vocalists; crossover; new metal; indie; Grunge; California; rap rock; screamo
102,T.I.,T.I.,United States,rap; hip hop; southern hip hop; gangsta rap; pop rap; dirty south; hip hop rnb and dance hall; trap rap,Hip-Hop; rap; Dirty South; hip hop; southern rap; atlanta; Gangsta Rap; TI; american; ATL; seen live; hiphop; rnb; grand hustle; male vocalists; King; T.I; gangsta; Trap Muzik; king of the south; tip; georgia; pop; Crunk; 00s; soul; urban; Rap and Hip-Hop
116,Slipknot,Slipknot,United States,metal; nu metal; new metal; alternative metal; rap metal; rock and indie,Nu Metal; metal; heavy metal; Nu-metal; seen live; rock; alternative metal; alternative; Slipknot; hard rock; metalcore; hardcore; death metal; american; thrash metal; mallcore; alternative rock; new metal; NOT METAL; industrial metal; shit; gay; groove metal; rapcore; emo; USA; industrial; crossover; trash metal; punk; pop; 90s; iowa; Crap
119,The Clash,The Clash,United Kingdom,rock; punk; punk rock; british; post-punk; new wave; uk; reggae; funk; english; dance-punk; england; classic pop and rock; disco rap,punk; punk rock; british; rock; classic rock
120,Dr. Dre,Dr. Dre,United States,hip hop; producer; gangsta rap; pop rap; g-funk; rapper; classic pop and rock; west coast hip hop; hardcore hip hop; instrumental hip hop,Hip-Hop; rap; Gangsta Rap; hip hop; west coast; G-funk; West Coast Rap; gangsta; hiphop; dr dre; 90s; american; Dr. Dre; California; compton; producer; old school; Dre; los angeles; nwa; west coast hip-hop; seen live; Aftermath; Eminem; legend; G Funk; west coast hip hop; USA; rock; rnb; 00s; funk; male vocalists; Snoop Dogg; urban; Rap and Hip-Hop; westcoast; old school rap
121,Alicia Keys,Alicia Keys,United States,pop; alternative rock; jazz; american; singer; neo-soul; soul; rnb; pianist; pop rap; neo soul; film soundtrack; hip hop rnb and dance hall; r&b; contemporary r&b,soul; rnb; female vocalists; pop; singer-songwriter; Alicia Keys; r&b; piano; Hip-Hop; american; female; seen live; Neo-Soul; r and b; female vocalist; rhythm and blues; jazz; Neo Soul; hip hop; urban; 00s; blues; new york; r'n'b; funk; USA; sexy; smooth; Love; black music; pianist; chillout; alicia; contemporary rnb; beautiful; female artists; diva
123,Limp Bizkit,Limp Bizkit,United States,rock; alternative rock; rap; metal; american; crossover; hip hop; nu metal; new metal; alternative metal; pop rock; rapcore; rap metal; rap rock; nu-metal; pop and chart; rock rap,Nu Metal; rapcore; rock; alternative; metal; seen live; Nu-metal; alternative rock; hard rock; limp bizkit; alternative metal; crossover; american; comedy; rap metal; rap; Hip-Hop; 90s; hardcore; NOT METAL; rap rock; USA; Officially Shit; mallcore; rap-metal; shit; 00s; punk; Crap; heavy metal; punk rock; hip hop; pop; new metal; Rap-Rock; male vocalists
131,Beastie Boys,Beastie Boys,United States,rock; rap; punk; american; hip-hop; electro; hip hop; usa; funk; hiphop; hardcore punk; américain; alternative hip-hop; ny; rap rock; us; rock and indie; prank calls; east coast hip hop; new york hardcore,Hip-Hop; rap; alternative; hip hop; seen live; rock; punk; old school; new york; 80s; 90s; hardcore punk; american; electronic; Beastie Boys; funk; hardcore; hiphop; rapcore; alternative rap; alternative rock; punk rock; old school rap; rap rock; crossover; alternative hip-hop; indie; USA; NYC; experimental; jazz; electronica; instrumental; Old School Hip Hop; golden age; old school hip-hop; funky; 00s; Brooklyn; pop; trip-hop; East Coast; east coast rap; indie rock
132,Nelly Furtado,Nelly Furtado,Canada,rock; pop; folk; canadian; hip hop; pop and chart; hip hop rnb and dance hall; r&b; euro/dance-pop,pop; female vocalists; Canadian; folk; singer-songwriter; rnb; Nelly Furtado; alternative; seen live; dance; female; Hip-Hop; female vocalist; rock; sexy; portuguese; latin; 00s; r&b; hip hop; canada; soul; Nelly; indie; spanish; pop rock; Shakira; electronic; favorites
137,The Prodigy,The Prodigy,United Kingdom,rock; electronic; alternative rock; industrial; drum and bass; hardcore; big beat; rave; dance; british; 2005; uk; britannique; techno; electronica; breakbeat; electropunk; english; dance-punk; dance and electronica; breakbeat hardcore; hardcore hip hop; hardcore breaks,electronic; techno; industrial; dance; seen live
142,Calvin Harris,Calvin Harris,United Kingdom,electronic; dance; house; electropop; disco; dance-pop; progressive house; hip house; electro house; dance and electronica; nu-disco; uk hip hop; contemporary r&b; complextro; electro-disco; ibiza trance,electronic; dance; electro; Disco; seen live; electronica; british; Scottish; House; pop; indie; electropop; Electroclash; calvin harris; synthpop; synth pop; UK; male vocalists; electro house; nu-disco; new rave; scotland; 00s; EDM; Progressive House; indie pop; dj; dumfries; indietronica; club; 80s; Electro Pop; alternative; sexy; techno; electro dance; singer-songwriter; party
143,Wiz Khalifa,Wiz Khalifa,United States,rap; hip hop; pop rap; hip hop rnb and dance hall,Hip-Hop; rap; underground hip-hop; hip hop; seen live
145,2Pac,2Pac,United States,american; hip-hop; hip hop; gangsta rap; west coast hip-hop; pop rap; g-funk; hip hop rnb and dance hall; west coast hip hop; above the rim; death by murder; death by gun; 2 pac; conscious hip hop; political hip hop; temor a la muerte; unil the end of time,rap; Hip-Hop; Gangsta Rap; West Coast Rap; hip hop; 2pac; west coast; gangsta; 90s; hiphop; legend; american; tupac; G-funk; California; 2 Pac; makaveli; thug life; RIP; death row; west coast hip-hop; old school; hardcore rap; USA; rnb; westcoast; tupac shakur; political; Westside; rock; soul; male vocalists; west coast hip hop; classic; Real hip-hop; pac; alternative; los angeles; poet; good rap; outlawz
146,Vampire Weekend,Vampire Weekend,United States,rock; american; usa; indie rock; indie; alternative; composer; américain; baroque pop; indie pop; neo-psychedelia; pop rap; afrobeat; indietronica; compositeur; rock and indie,indie; indie rock; indie pop; seen live; alternative
152,Gwen Stefani,Gwen Stefani,United States,rock; pop; american; new wave; ska punk; electropop; rnb; dance-pop; pop rock; pop rap; pop and chart; united states; no doubt; contemporary r&b,pop; female vocalists; dance; rock; alternative; gwen stefani; Hip-Hop; female; american; rnb; seen live; electronic; female vocalist; 00s; singer-songwriter; pop rock; No Doubt; sexy; Gwen; indie; electropop; hip hop; alternative rock; ska; electronica; cool; Pop-Rock; USA; new wave; punk; favorites; guilty pleasure
157,Flo Rida,Flo Rida,United States,electro; hip hop; electropop; southern hip hop; dance-pop; pop rap; hip house; hip hop rnb and dance hall; a filk artist,Hip-Hop; rap; hip hop; Dirty South; southern rap; dance; Flo Rida; american; rnb; pop; male vocalists; electronic; seen live; florida; miami; electro hip-hop; USA; r&b; pop rap; hiphop; 00s; Flo-Rida; dance music; Low; electro hop; shit; Black; rock; House; Gangsta Rap; step up 2
162,Jennifer Lopez,Jennifer Lopez,United States,electronic; pop; dance; dance-pop; pop rap; latin pop; latin; reggaeton; electro house; pop and chart; contemporary r&b,pop; latin; rnb; female vocalists; dance; jennifer lopez; Hip-Hop; american; female; sexy; r&b; latin pop; 90s; female vocalist; spanish; electronic; hip hop; soul; jlo; dance-pop; 00s; dance pop; hot; USA; urban; club; Love; diva; rhythm and blues; Guilty Pleasures; english; Officially Shit; House; bitch; guilty pleasure; beautiful; party; alternative; easy listening; r and b; FLOP; seen live; electropop; rock; legend; hiphop; amazing; female vocal; Britney Spears; latino; latina; trance; remix; Wanessa; Electro Pop; dubstep; cool; Favorite; electro-pop; jennifer; electro; sweet; new york; breakcore; Shakira; bionic; Fierce; fun; pop princess; industrial; Crap; Rihanna; great voice; puerto rico; actress; bootylicious
168,The Notorious B.I.G.,The Notorious B.I.G.,United States,rap; hip hop; gangsta rap; hip hop rnb and dance hall; east coast hip hop,Hip-Hop; rap; Gangsta Rap; east coast rap; hip hop
171,Nicki Minaj,Nicki Minaj,United States,electronic; pop; rap; hip-hop; hip hop; r&b; a filk artist,Hip-Hop; rap; rnb; pop; hip hop; female vocalists; sexy; nicki minaj; dance; american; r&b; new york; seen live; bitch; pop rap; electropop; barbie; young money; electronic; female vocalist; female rapper; USA; <3; trinidad and tobago; female rap; dance-pop; urban; shit; trinidadian; nicki; queen of rap; diva; hiphop; overrated; Fierce bitch; its barbie bitch; female; alternative; singer-songwriter; Crap; 10s; Love; 3; party; amazing; guilty pleasure; the worst thing ever to happen to music; pink friday; better than iggy azalea; chillout; chill; world; fun; World Music; hot; english; sunflower; female rappers; Skitz0rz; uitluisteren artist; holloween skitz0rz; my dance room
191,The Game,The Game,United States,rap; american; hip hop; soul and reggae,rap; Hip-Hop; Gangsta Rap; west coast; hip hop
192,Lupe Fiasco,Lupe Fiasco,United States,hip-hop; hip hop; pop rap; rapper; hip hop rnb and dance hall; abstract hip hop; conscious hip hop; political hip hop,Hip-Hop; rap; hip hop; underground hip-hop; chicago; seen live; Lupe Fiasco; american; chi-town; alternative rap; hiphop; alternative hip-hop; soul; Conscious Rap; Lupe; intelligent; alternative; 00s; Conscious Hip Hop; urban; chill; male vocalists; midwest rap; Illinois; rnb; Midwest; skater; underground; chillout; political; makes black people want to skate; Good Hip Hop; indie; alternative hip hop; conscious hip-hop; socially conscious
195,Akon,Akon,Senegal,pop; american; hip hop; electropop; dance-pop; pop rap; hip hop rnb and dance hall; dangerous; r&b; contemporary r&b; senegalese-american,Hip-Hop; rnb; rap; hip hop; pop; Akon; r&b; soul; male vocalists; american; dance; hiphop; seen live; r'n'b; urban; r and b; rhythm and blues; black music; Gangsta Rap; senegal; Officially Shit; reggae; konvict; USA; 00s; african; rock; Favorite; shit; senegalese; male vocalist; electronic; alternative; Black
197,Pitbull,Pitbull,United States,hip hop; hiphop; electropop; eurodance; southern hip hop; dance-pop; pop rap; latin pop; latin; hip house; electro house; maltido; pitbull; global warming meltdown,Hip-Hop; rap; Reggaeton; hip hop; Crunk; dance; pop; Pitbull; latin; male vocalists; rnb; Dirty South; american; electronic; miami; spanish; seen live; party; cuban; House; dancehall; sexy; hiphop; reggae; club; 00s; southern rap; florida; rock; funk
209,Nas,Nas,United States,hip hop; hiphop; us; hip hop rnb and dance hall; the lost prophecy; boom bap; east coast hip hop; hardcore hip hop,Hip-Hop; rap; hip hop; east coast rap; new york; seen live; Nas; East Coast; Gangsta Rap; hiphop; american; Queensbridge; queens; 90s; underground hip-hop; legend; east coast hip hop; east coast hip-hop; hardcore rap; classic hip-hop; NYC; Real hip-hop; boom bap; USA; gangsta; urban; Conscious Rap; QB; illmatic
211,Ludacris,Ludacris,United States,rap; american; hip-hop; hip hop; southern hip hop; pop rap; dirty south; hip hop rnb and dance hall; trap rap,rap; Hip-Hop; Dirty South; hip hop; Ludacris; seen live; southern rap; hiphop; atlanta; rnb; american; Gangsta Rap; luda; Crunk; rock; alternative; pop; ATL; georgia; southern hip-hop; soul; urban; DTP; male vocalists; USA; def jam; 00s; disturbing tha peace; hardcore rap
219,Nelly,Nelly,United States,rap; hip-hop; hip hop; rnb; southern hip hop; pop rap; hip hop rnb and dance hall; contemporary r&b,Hip-Hop; rap; rnb; hip hop; Nelly; pop; american; hiphop; Dirty South; seen live; male vocalists; soul; urban; r&b; rock; southern rap; pop rap; st louis; 00s; r and b; dance; alternative; punk; reggae; Missouri; emo; Gangsta Rap; Officially Shit; Midwest; USA; r'n'b
221,Timbaland,Timbaland,United States,pop; hip hop; electropop; dance-pop; pop rock; pop rap; hip hop rnb and dance hall; contemporary r&b,Hip-Hop; rnb; rap; pop; hip hop
235,M.I.A.,M.I.A.,United Kingdom,electronic; dance; british; hip hop; uk; hiphop; electronica; electropop; world music; desi; avant-pop; experimental pop; english; dancehall; asian; british asian; sri lankan; alternative hip hop; experimental hip hop; uk hip hop; sri lanka; political hip hop; synth punk; funk carioca,Hip-Hop; electronic; female vocalists; dance; indie; seen live; Grime; hip hop; electronica; british; alternative; rap; experimental; electro; dancehall; pop; world; political; female; UK; 00s; sri lankan; funk; female vocalist; mia; alternative dance; electropop; sri lanka; World Music; reggae; trip-hop; baile funk; london; indie pop; singer-songwriter; punk; alternative hip-hop; fun; Electroclash; sexy; english; alternative hip hop; chillout; beats; rnb; Funk Carioca; hiphop; england; M.I.A; ragga; Favorite; indie rock; urban; indietronica; dub; rock; favorites; female vocals; punk rock
237,Fergie,Fergie,United States,pop; hip hop; dance-pop; pop rap; electro house; soul and reggae; r&b; contemporary r&b; trap,pop; rnb; female vocalists; Hip-Hop; dance; Fergie; hip hop; sexy; american; female; r&b; rap; female vocalist; black eyed peas; seen live; techno; 00s; r'n'b; electronic; Shakira; soul; Fergalicious; USA; shit; guilty pleasure; hot; all things annoying in the world put together into one stupid bitch; beautiful; diva; Officially Shit; Crap; minimal
242,Destiny’s Child,Destiny's Child,United States,pop; rnb; dance-pop; pop rap; pop and chart; pop soul; christmas music; contemporary r&b,rnb; pop; female vocalists; soul; Hip-Hop; dance; r&b; american; hip hop; destinys child; r and b; female; 90s; Destiny's Child; Girl Groups; seen live; urban; 00s; sexy; beyonce; female vocalist; rap; girl group; rhythm and blues; texas; rock; Kelly Rowland; USA; Houston; r'n'b; michelle williams; hiphop; teen pop; girl band; dance-pop; group; Guilty Pleasures; Black
261,Sublime,Sublime,United States,rock; alternative rock; punk; american; punk rock; ska; ska punk; reggae; usa; dub; rapcore; skacore,ska; reggae; punk; rock; alternative; ska punk; dub; alternative rock; punk rock; sublime; 90s; indie; chill; California; american; Hip-Hop; ska-punk; Reggae Rock; long beach; seen live; favorites; classic rock; hip hop; rap; stoner; Stoner Rock; chillout; third wave ska; funk; summer; pop; hardcore; emo; indie rock; acoustic; reggae punk; metal; Grunge; USA
268,Rick Ross,Rick Ross,United States,hip hop; southern hip hop; gangsta rap; pop rap; hip hop rnb and dance hall; hardcore hip hop; trap rap,Hip-Hop; rap; Dirty South; southern rap; hip hop; rick ross; miami; Gangsta Rap; seen live; florida; cocaine; gangsta; dade county; officer ricky; american; rnb; hustler; Southern Hip Hop; hiphop; ross; Hustlin; slip n slide; fat; trap rap; boss; Trick Daddy; pop; favorites; police; def jam; southern hip-hop
278,Ciara,Ciara,United States,pop; dance; hip hop; electropop; dance-pop; pop rap; pop and chart; r&b; contemporary r&b; crunk&b,rnb; Hip-Hop; pop; female vocalists; dance; Ciara; hip hop; r&b; american; rap; Crunk; r and b; soul; sexy; female; urban; female vocalist; electronic; r'n'b; 00s; rhythm and blues; USA; hiphop; seen live; party; Dirty South; texas; crunk n b; club; hot; black music; singer-songwriter
288,Editors,Editors,United Kingdom,alternative rock; british; post-punk; uk; britannique; indie rock; post-punk revival; designer graphique; graphic designer; 00s; rock and indie; male vocalists,seen live; indie; indie rock; british; alternative; rock; post-punk; alternative rock; britpop; Post-punk revival; new wave; editors; UK; 00s; Post punk; electronic; indie pop; england; birmingham; english; male vocalists; dark; melancholy; brit rock; Britrock; pop; Indie-Rock
292,MIKA,Mika,United Kingdom,british; uk; singer; producer; composer; lyricist; lebanese; english; designer graphique; graphic designer; parolier; keyboardist; claviériste; chanteur; compositeur; producteur; pop and chart,pop; british; britpop; electronic; alternative; seen live; dance; male vocalists; mika; chillout; singer-songwriter; happy; gay; indie; fun; electro; pop rock; 00s; rock; indie pop; UK; power pop; electronica; glam rock; piano; male vocalist; powerpop; lebanese; catchy; english; electropop; Love; dance pop; cool; Lebanon; Awesome
301,Ed Sheeran,Ed Sheeran,United Kingdom,pop; guitarist; folk; uk; singer; dance-pop; pop rap; folk pop; rapper; pop soul; singer/songwriter; ed sheeran does not make sillyname tracks ಠ_ಠ,acoustic; british; singer-songwriter; easy-listening; Grime; pop; seen live; male vocalists; indie; folk; alternative; Ed Sheeran; Hip-Hop; rock; UK; soul; indie pop; indie folk; english; england; overrated; pop rock; male vocalist; folk pop; Love; guitar; rap; cute; folk rock; suffolk; chillout; Mellow; 00s; Acoustic Rock; 10s; ed; fucking AMAZINGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGg; Soundtrack; easy listening; romantic; amazing; Alternative Folk; love at first listen; want to see live; All; ginger
308,Gnarls Barkley,Gnarls Barkley,United States,pop; hip hop; neo-soul; pop rock; pop and chart; alternative hip hop; pop soul; experimental hip hop,funk; soul; Hip-Hop; alternative; hip hop; seen live; pop; dance; electronic; crazy; american; Neo-Soul; Gnarls Barkley; experimental; indie; electronica; alternative hip-hop; rap; Danger Mouse; male vocalists; funky; hiphop; trip-hop; 00s; rnb; rock; alternative rock; USA; r&b; Neo Soul; alternative rap; cee-lo; jazz; british; Awesome; cool; atlanta; indie rock; rhythm and blues; alternative hip hop
