,artist_mb,artist_lastfm,country_mb,tags_mb,tags_lastfm
435667,Leaf Rapids,Leaf Rapids,Canada,country; alternative; leaf; rapids,
436202,Compton’s Most Wanted,Compton’s Most Wanted,United States,hip hop,
436233,David Begun,David Begun,United States,hip hop; mashup,
436857,2 Hungry Brothers,2 Hungry Bros & 8thw1,United States,hip hop,
437801,Curlwond,Curlwond,,electronic; pop; drum and bass; jungle; noise; hardcore; rave; bass; 8-bit; glitch; happy hardcore; chill; chiptune; dreamy; footwork; juke; bubblegum pop; 808; trap; vaporwave; furry; future bass; trappy hardcore; furry rave; glitter pop; plasticore,
437989,Jack Shields,Jack Shields,,guitarist; hip hop; indie rock; folk rock; producer; singer/songwriter,
438556,Calvin Crabtree,Calvin Crabtree,United States,pop; rap; hip-hop; songwriter; music; singer; vocal; 2011; calvin crabtree,pop; singer-songwriter; under 2000 listeners; teen pop; Calvin Crabtree; new king of pop
438663,Facekché,Facekché,Canada,hip hop,
438815,LordFubu,LORDFUBU,United States,hip-hop; hip hop,
439237,4Say,4Say,Canada,hip hop,French hip hop
439841,Sheikh Haikel,Sheikh Haikel,Singapore,singapore; rapper,hip hop; under 2000 listeners; sounds of the underground; KPE Underground
440627,Smurfie Syco,Smurfie Syco,,rapper; mc,dubstep; Grime
440973,DJ Manifest,DJ Manifest,Canada,hip hop,
440998,Del B,Del B,Nigeria,singer-songwriter; record producer; biography,
441863,Gang Starr Foundation,Gang Starr Foundation,,hip hop,
442073,Militainment,Militainment,,hip hop,
442205,Ricko,Ricko,,rap; hip-hop; uk; london; slick; ricko; vcls; crmusicgroup; crmg records; ricko capito; ricko aka slick; the slick rick lp,
442259,Soul Swing,Soul swing,France,hip hop,french hip-hop; Hip-Hop; rap; boom bap; French hip hop
442347,Vince Edwards,Vince Edwards,United States,hip hop,oldies; crooner; vince edwards
443377,Cavaliers Noirs,Cavaliers Noirs,Canada,hip hop,Hip-Hop; rap; hip hop; quebec; french rap; rap quebecois; Quebec Rap
444463,MTR,MTR,Japan,japanese; musician; graphic designer; japan; label owner,
